id,name,lineno
FUNC_6b1e1474,test_html_splitter_with_href_links,3539
FUNC_b144535a,test_html_splitter_with_nested_elements,3564
FUNC_93409359,test_html_splitter_with_preserved_elements,3592
FUNC_cc85e2df,test_html_splitter_with_nested_preserved_elements,3628
FUNC_0b2b5909,test_html_splitter_with_nested_div_preserved,3669
FUNC_c8d797a5,test_html_splitter_preserve_nested_in_paragraph,3699
FUNC_a000715b,test_html_splitter_with_no_further_splits,3722
FUNC_c9101bf5,test_html_splitter_with_small_chunk_size,3745
FUNC_aff0e1c1,test_html_splitter_with_denylist_tags,3773
FUNC_0b9dc1a1,test_html_splitter_with_external_metadata,3799
FUNC_15bc1d35,test_html_splitter_with_text_normalization,3824
FUNC_d33f0fe0,test_html_splitter_with_allowlist_tags,3849
FUNC_4567820b,test_html_splitter_with_mixed_preserve_and_filter,3876
FUNC_b4b0c306,test_html_splitter_with_no_headers,3912
FUNC_bd2c2600,test_html_splitter_with_media_preservation,3937
FUNC_f1d04526,test_html_splitter_keep_separator_true,3978
FUNC_114f1ff2,test_html_splitter_keep_separator_false,4008
FUNC_83016c98,test_html_splitter_keep_separator_start,4038
FUNC_fab2b0cb,test_html_splitter_keep_separator_end,4068
FUNC_5655d745,test_html_splitter_keep_separator_default,4098
FUNC_43ad7721,test_html_splitter_preserved_elements_reverse_order,4127
FUNC_9f42c50b,test_html_splitter_replacement_order,4168
FUNC_6d1c77c2,test_character_text_splitter_discard_regex_separator_on_merge,4199
FUNC_59a3fc98,test_character_text_splitter_chunk_size_effect,4230
FUNC_15e32932,setup_module,13
FUNC_c5c2c53c,spacy,18
FUNC_b30760e6,test_nltk_text_splitting_args,33
FUNC_b4daac7d,test_spacy_text_splitting_args,45
FUNC_94637df8,test_nltk_text_splitter,56
FUNC_dc04f8de,test_spacy_text_splitter,68
FUNC_20a434a6,test_spacy_text_splitter_strip_whitespace,80
FUNC_a4cfa020,test_nltk_text_splitter_args,92
FUNC_586da9f0,test_nltk_text_splitter_with_add_start_index,105
FUNC_9dc1c566,test_huggingface_type_check,15
FUNC_18e37c84,test_huggingface_tokenizer,24
FUNC_2d4d69a1,test_token_text_splitter,34
FUNC_4aff53be,test_token_text_splitter_overlap,42
FUNC_a6b8045b,test_token_text_splitter_from_tiktoken,50
FUNC_6c182b1b,test_sentence_transformers_count_tokens,58
FUNC_41c9761f,test_sentence_transformers_split_text,74
FUNC_860bb434,test_sentence_transformers_multiple_tokens,85
FUNC_c1d2f3eb,test_sentence_transformers_with_additional_model_kwargs,118
FUNC_b4c0ac1d,test_placeholder,5
FUNC_d4965ed8,__init__,22
FUNC_5e7b7aa4,split_text,58
FUNC_ed129dad,__init__,28
FUNC_231acfc0,split_text,46
FUNC_be3dcb27,_find_all_strings,65
FUNC_f0ab91ef,_find_all_tags,73
FUNC_4c269ada,__init__,144
FUNC_700f4879,split_text,174
FUNC_ddbe1964,split_text_from_url,196
FUNC_2e30cbb3,split_text_from_file,227
FUNC_ad876eff,_generate_documents,245
FUNC_33dfa26d,finalize_chunk,276
FUNC_4c269ada,__init__,369
FUNC_3b6ec7dd,split_documents,391
FUNC_700f4879,split_text,410
FUNC_f420d288,create_documents,421
FUNC_ebfa3909,split_html_by_headers,447
FUNC_582d0133,convert_possible_tags_to_header,508
FUNC_2e30cbb3,split_text_from_file,545
FUNC_4c269ada,__init__,614
FUNC_700f4879,split_text,730
FUNC_a8e8966d,transform_documents,752
FUNC_c9a42e0d,_process_media,777
FUNC_a5a5edf6,_process_links,811
FUNC_a0265d30,_filter_tags,825
FUNC_a1d0016b,_normalize_and_clean_text,840
FUNC_c7945125,_process_html,861
FUNC_e44b365e,_get_element_text,876
FUNC_5d8ef2bc,_process_element,906
FUNC_b9ef53d2,_create_documents,1006
FUNC_9fa980b5,_further_split_chunk,1030
FUNC_c89b39a8,_reinsert_preserved_elements,1061
FUNC_d697d614,__init__,25
FUNC_1ddbdca5,split_text,49
FUNC_b120d427,__init__,17
FUNC_b120d427,__init__,26
FUNC_a74ac0b1,_is_custom_header,57
FUNC_1a23ba69,aggregate_lines_to_chunks,88
FUNC_ef4e678c,split_text,134
FUNC_b120d427,__init__,333
FUNC_ef4e678c,split_text,372
FUNC_7d94df15,_resolve_header_stack,434
FUNC_0a5f07a7,_resolve_code_chunk,442
FUNC_d136107f,_complete_chunk_doc,451
FUNC_91127724,_match_header,464
FUNC_45d31a00,_match_code,472
FUNC_c2652173,_match_horz,477
FUNC_052721ef,__init__,14
FUNC_583bb9b5,__init__,14
FUNC_72cadb61,split_text,25
FUNC_39dfd0ae,_split_text_with_regex,61
FUNC_583bb9b5,__init__,95
FUNC_acb50e0d,_split_text,107
FUNC_72cadb61,split_text,149
FUNC_5d749e9a,from_language,161
FUNC_6ca9eb5b,get_separators_for_language,179
FUNC_40b4f0b3,__init__,23
FUNC_c2a8b283,_initialize_chunk_configuration,60
FUNC_82d35a48,split_text,77
FUNC_2cb54d6b,encode_strip_start_and_stop_token_ids,92
FUNC_78e85596,count_tokens,104
FUNC_130e02aa,_encode,120
FUNC_11c1d77a,__init__,35
FUNC_1384316d,split_text,53
FUNC_4546ba47,_make_spacy_pipeline_for_splitting,61
FUNC_9f11709e,__init__,14
FUNC_3ec974bf,__init__,29
FUNC_75951866,_json_size,54
FUNC_2c98e667,_set_nested_dict,59
FUNC_250b9c71,_list_to_dict_preprocessing,69
FUNC_d2508d8f,_json_split,85
FUNC_1b20779f,split_json,116
FUNC_2d947569,split_text,141
FUNC_c49e872a,create_documents,163
FUNC_79b338d1,__init__,47
FUNC_8f5ab64e,split_text,93
FUNC_7d6318fa,create_documents,103
FUNC_6913674f,split_documents,131
FUNC_a5c724b2,_join_docs,146
FUNC_e31e9704,_merge_splits,152
FUNC_235eadd3,from_huggingface_tokenizer,197
FUNC_15bfb9a1,_huggingface_tokenizer_length,224
FUNC_178bb2e3,from_tiktoken_encoder,230
FUNC_821371e1,_tiktoken_encoder,269
FUNC_c5988a47,transform_documents,290
FUNC_79b338d1,__init__,307
FUNC_8f5ab64e,split_text,347
FUNC_5efb06f9,_encode,363
FUNC_1abde6dd,split_text_on_tokens,430
FUNC_b2bfe0bf,blockbuster,13
FUNC_618f9db4,pytest_addoption,35
FUNC_e5694298,pytest_collection_modifyitems,49
FUNC_4fb93674,deterministic_uuids,116
FUNC_38ea9c32,test_blockbuster_setup,9
FUNC_ef894bee,test_serde_any_message,28
FUNC_01c04aca,test_print_sys_info,4
FUNC_1a8f86fa,test_chat_prompt_value_concrete,14
FUNC_9f290266,replace_all_of_with_ref,9
FUNC_2572e61f,remove_all_none_default,31
FUNC_2f029f9e,_remove_enum,60
FUNC_21e3109e,_schema,76
FUNC_6edbce93,_remove_additionalproperties,102
FUNC_94302871,_normalize_schema,129
FUNC_9a6f046b,test_importable_all,7
FUNC_0aa6232c,try_to_import,21
FUNC_f39303da,test_importable_all_via_subprocess,34
FUNC_be20b419,test_debug_is_settable_via_setter,6
FUNC_d51645d7,_fake_addrinfo,21
FUNC_080b4918,_fake_addrinfo_v6,25
FUNC_51933b47,_ok_response,29
FUNC_53b1074e,test_validate_resolved_ip_blocks_nat64_embedded_private_ip,33
FUNC_192d5f3b,test_validate_resolved_ip_blocks_cgnat,40
FUNC_a576f029,test_validate_hostname_blocks_kubernetes_internal_dns,47
FUNC_f9971b6f,test_validate_url_sync_allows_explicit_allowed_host,54
